ID,Name,Description,Type,Category,Subcategory,File Path,Ports,Required Upstreams,Health Check Type,Health Check Endpoint,Failure Impact,Last Modified
api-gateway-api-gateway-core,"Api Gateway Core","Enterprise API Gateway Core Provides centralized API management with versioning, rate limiting, secu",service,api-gateway,api-gateway-core.js,infrastructure/api-gateway/api-gateway-core.js,"8080;3000","gateway;monitoring;metrics;logging",http,"/health",critical,2025-08-21T21:13:42.542Z
api-gateway-api-gateway-orchestrator,"Api Gateway Orchestrator","API Gateway & Management Orchestrator Unified system that coordinates API Gateway, Service Mesh, CI/",gateway,api-gateway,api-gateway-orchestrator.js,infrastructure/api-gateway/api-gateway-orchestrator.js,"8080;4601;4602;4603","api-gateway-core;service-mesh;openapi-documentation;cicd/pipeline-manager;signer;chain;collector;gateway;metrics",http,"/health",critical,2025-08-21T21:13:42.542Z
api-gateway-openapi-documentation,"Openapi Documentation","OpenAPI Documentation Generator Generates comprehensive API documentation with interactive explorati",gateway,api-gateway,openapi-documentation.js,infrastructure/api-gateway/openapi-documentation.js,"","signer;chain;collector;auth;gateway;metrics",http,"/health",critical,2025-08-21T21:13:42.542Z
api-gateway-service-mesh,"Service Mesh","Service Mesh Integration Provides service discovery, load balancing, circuit breaking, and inter-ser",gateway,api-gateway,service-mesh.js,infrastructure/api-gateway/service-mesh.js,"","metrics",http,"/health",critical,2025-08-21T21:13:42.542Z
auth-auth-middleware,"Auth Middleware","auth-middleware.js Authentication middleware for MerajutASA.id services Implements JWT validation, A",authentication,auth,auth-middleware.js,infrastructure/auth/auth-middleware.js,"","signer;chain;collector;auth;metrics",http,"/health",critical,2025-08-21T21:13:42.542Z
backup-backup-service,"Backup Service","backup-service.js Comprehensive backup and disaster recovery service for MerajutASA.id Implements au",storage,backup,backup-service.js,infrastructure/backup/backup-service.js,"","",none,"",low,2025-08-21T21:13:42.542Z
cicd-pipeline-manager,"Pipeline Manager","Advanced CI/CD Pipeline Management Provides automated testing, building, deployment, and release man",cache,cicd,pipeline-manager.js,infrastructure/cicd/pipeline-manager.js,"","signer;chain;collector;gateway;monitoring;metrics",http,"/health",high,2025-08-21T21:13:42.542Z
compliance-audit-system,"Audit System","Enterprise Audit System for MerajutASA.id * Provides comprehensive audit trail capabilities for comp",database,compliance,audit-system.js,infrastructure/compliance/audit-system.js,"","auth;database;metrics",none,"",critical,2025-08-21T21:13:42.543Z
compliance-compliance-automation,"Compliance Automation","Compliance Automation & Reporting System for MerajutASA.id * Provides automated compliance managemen",compliance,compliance,compliance-automation.js,infrastructure/compliance/compliance-automation.js,"","audit-system;monitoring;metrics;logging",none,"",medium,2025-08-21T21:13:42.543Z
compliance-compliance-orchestrator,"Compliance Orchestrator","Compliance & Security Orchestrator for MerajutASA.id * Central orchestration system that coordinates",compliance,compliance,compliance-orchestrator.js,infrastructure/compliance/compliance-orchestrator.js,"","audit-system;compliance-automation;security/enhanced/security-hardening;privacy-rights-management;monitoring;metrics",none,"",high,2025-08-21T21:13:42.543Z
compliance-privacy-rights-management,"Privacy Rights Management","Privacy Rights Management System for MerajutASA.id * Comprehensive privacy rights automation system ",service,compliance,privacy-rights-management.js,infrastructure/compliance/privacy-rights-management.js,"","compliance/audit-system;database;monitoring;metrics",none,"",medium,2025-08-21T21:13:42.543Z
high-availability-auto-scaling,"Auto Scaling","Auto-Scaling System Intelligent auto-scaling with predictive analytics Phase 2 Week 5: High Availabi",infrastructure,high-availability,auto-scaling.js,infrastructure/high-availability/auto-scaling.js,"","monitoring;metrics",http,"/health",medium,2025-08-21T21:13:42.544Z
high-availability-disaster-recovery,"Disaster Recovery","Disaster Recovery System Automated backup, failover, and recovery orchestration Phase 2 Week 5: High",database,high-availability,disaster-recovery.js,infrastructure/high-availability/disaster-recovery.js,"","database;monitoring;metrics",http,"/health",critical,2025-08-21T21:13:42.544Z
high-availability-fault-tolerance,"Fault Tolerance","Fault Tolerance System Advanced circuit breakers, retry mechanisms, and fault isolation Phase 2 Week",worker,high-availability,fault-tolerance.js,infrastructure/high-availability/fault-tolerance.js,"","monitoring;metrics",http,"/health",medium,2025-08-21T21:13:42.544Z
high-availability-ha-orchestrator,"Ha Orchestrator","High Availability Orchestrator Central coordination system for all high availability components Phas",infrastructure,high-availability,ha-orchestrator.js,infrastructure/high-availability/ha-orchestrator.js,"env:HA_ORCHESTRATOR_PORT","multi-region-deployment;disaster-recovery;auto-scaling;fault-tolerance;health-monitoring;signer;chain;collector;metrics",http,"./health-monitoring.js",high,2025-08-21T21:13:42.544Z
high-availability-health-monitoring,"Health Monitoring","Health Monitoring System Comprehensive health monitoring with intelligent alerting Phase 2 Week 5: H",database,high-availability,health-monitoring.js,infrastructure/high-availability/health-monitoring.js,"","database;monitoring;metrics",http,"/health",critical,2025-08-21T21:13:42.544Z
high-availability-multi-region-deployment,"Multi Region Deployment","Multi-Region Deployment System Enterprise-grade deployment orchestration across multiple regions Pha",database,high-availability,multi-region-deployment.js,infrastructure/high-availability/multi-region-deployment.js,"","database;monitoring;metrics",http,"/health",critical,2025-08-21T21:13:42.544Z
integration-component-dependency-analyzer,"Component Dependency Analyzer","Component Dependency Analyzer Lead Infrastructure Architect: Component dependency mapping and docume",middleware,integration,component-dependency-analyzer.js,infrastructure/integration/component-dependency-analyzer.js,"","chain;auth;gateway;monitoring;metrics;logging",http,"/health",critical,2025-08-21T21:13:42.545Z
integration-infrastructure-integration-platform,"Infrastructure Integration Platform","Infrastructure Integration Platform Lead Infrastructure Architect: Overall system design and integra",middleware,integration,infrastructure-integration-platform.js,infrastructure/integration/infrastructure-integration-platform.js,"","auth;gateway;monitoring;metrics;logging",http,"/health",critical,2025-08-21T21:13:42.545Z
monitoring-metrics-collector,"Metrics Collector","metrics-collector.js Prometheus-compatible metrics collection service for MerajutASA.id Implements c",cache,monitoring,metrics-collector.js,infrastructure/monitoring/metrics-collector.js,"4601;4602;4603;4604;4605;9090;env:METRICS_PORT","signer;chain;collector;metrics",http,"/health",medium,2025-08-21T21:13:42.546Z
monitoring-structured-logger,"Structured Logger","structured-logger.js Centralized structured logging service for MerajutASA.id Implements JSON struct",monitoring,monitoring,structured-logger.js,infrastructure/monitoring/structured-logger.js,"","metrics;logging",none,"",medium,2025-08-21T21:13:42.546Z
observability-metrics-advanced-metrics-collector,"Advanced Metrics Collector","MerajutASA.id - Phase 2 Week 3: Advanced Metrics Collection System * Enterprise-grade metrics collec",database,observability,metrics,infrastructure/observability/metrics/advanced-metrics-collector.js,"","chain;collector;database;monitoring;metrics",http,"/health",critical,2025-08-21T21:13:42.546Z
observability-advanced-observability-system,"Advanced Observability System","MerajutASA.id - Phase 2 Week 3: Advanced Observability System * Main orchestrator for the advanced o",observability,observability,advanced-observability-system.js,infrastructure/observability/advanced-observability-system.js,"","tracing/distributed-tracing;metrics/advanced-metrics-collector;alerting/intelligent-alerting;logs/log-aggregation;anomaly/anomaly-detection;dashboards/real-time-dashboards;auth;monitoring;logging",http,"/health",high,2025-08-21T21:13:42.546Z
observability-anomaly-anomaly-detection,"Anomaly Detection","MerajutASA.id - Phase 2 Week 3: Anomaly Detection System * Advanced anomaly detection for system and",observability,observability,anomaly,infrastructure/observability/anomaly/anomaly-detection.js,"","chain;metrics",http,"/health",medium,2025-08-21T21:13:42.546Z
observability-tracing-distributed-tracing,"Distributed Tracing","MerajutASA.id - Phase 2 Week 3: Distributed Tracing System * Advanced distributed tracing implementa",database,observability,tracing,infrastructure/observability/tracing/distributed-tracing.js,"","signer;chain;collector;database",http,"/health",critical,2025-08-21T21:13:42.547Z
observability-alerting-intelligent-alerting,"Intelligent Alerting","MerajutASA.id - Phase 2 Week 3: Intelligent Alerting System * Advanced alerting with escalation, cor",worker,observability,alerting,infrastructure/observability/alerting/intelligent-alerting.js,"env:SMTP_PORT","chain;auth;metrics",http,"/health",medium,2025-08-21T21:13:42.546Z
observability-logs-log-aggregation,"Log Aggregation","MerajutASA.id - Phase 2 Week 3: Log Aggregation System * Enterprise-grade log aggregation and manage",observability,observability,logs,infrastructure/observability/logs/log-aggregation.js,"","logging",none,"",medium,2025-08-21T21:13:42.546Z
observability-dashboards-real-time-dashboards,"Real Time Dashboards","MerajutASA.id - Phase 2 Week 3: Real-time Monitoring Dashboards * Advanced dashboard system with rea",service,observability,dashboards,infrastructure/observability/dashboards/real-time-dashboards.js,"","signer;chain;collector;auth;database;monitoring;metrics",http,"/health",high,2025-08-21T21:13:42.546Z
performance-cache-cache-strategies,"Cache Strategies","Multi-Layer Cache Strategies for Phase 2 Week 2 Performance Enhancement Implements intelligent cachi",cache,performance,cache,infrastructure/performance/cache/cache-strategies.js,"","redis-manager;redis;monitoring",http,"/health",low,2025-08-21T21:13:42.547Z
performance-optimization-connection-pool,"Connection Pool","Connection Pool Manager for Phase 2 Week 2 Performance Enhancement Provides intelligent connection p",worker,performance,optimization,infrastructure/performance/optimization/connection-pool.js,"","monitoring;metrics",http,"/health",low,2025-08-21T21:13:42.547Z
performance-services-enhanced-signer,"Enhanced Signer","Enhanced Signer Service with Performance Optimizations Phase 2 Week 2+ Integration",cache,performance,services,infrastructure/performance/services/enhanced-signer.js,"","cache/cache-strategies;optimization/response-compression;monitoring/sla-monitor;monitoring/performance-monitor;signer;metrics",http,"/sign",high,2025-08-21T21:13:42.547Z
performance-monitoring-performance-monitor,"Performance Monitor","Performance Monitor for Phase 2 Week 2 Performance Enhancement Provides comprehensive performance tr",database,performance,monitoring,infrastructure/performance/monitoring/performance-monitor.js,"","database;monitoring;metrics",http,"/health",critical,2025-08-21T21:13:42.547Z
